Price,Close,High,Low,Open,Volume
Ticker,NAS.OL,NAS.OL,NAS.OL,NAS.OL,NAS.OL
Date,,,,,
2019-09-26,1613.1005859375,1687.7892808403428,1610.448897161264,1657.2950908969735,22134
2019-09-27,1574.2093505859375,1641.3850816003962,1566.696270847807,1639.6172505772065,24329
2019-09-30,1591.0032958984375,1598.9583626168092,1539.2957087040525,1570.2318867893696,22116
2019-10-01,1600.2841796875,1635.1978905345966,1584.374162014669,1590.5613975258632,21361
2019-10-02,1587.4677734375,1642.7110236783922,1577.744990960973,1600.2842315156563,28879
2019-10-03,1510.1273193359375,1583.9321580210028,1502.6142394766784,1577.744922577594,40126
2019-10-04,1538.853759765625,1573.767353953732,1515.872534068596,1546.808710590234,52787
2019-10-07,1554.7637939453125,1651.5497422373817,1540.6214921697178,1546.8087275418518,48439
2019-10-08,1516.7564697265625,1568.0221858060493,1507.0336873906565,1564.4866390922357,16975
2019-10-09,1491.1236572265625,1510.127350585885,1481.8428616152332,1502.6142705711536,18709
2019-10-10,1502.6142578125,1534.4342931978408,1482.7267068237434,1486.7042401198296,20350
2019-10-11,1493.775390625,1542.3894188468728,1484.9364659035975,1511.4532400678045,32709
2019-10-14,1515.87255859375,1522.5017806312371,1471.6780529882974,1492.8914480165831,14535
2019-10-15,1498.63671875,1543.2732116426432,1495.5431587482863,1521.1759585160887,16364
2019-10-16,1487.1461181640625,1508.3595136831973,1481.400869259752,1499.5205892592514,12893
2019-10-17,1540.1796875,1635.1979243531066,1449.1388685286042,1489.3559579289565,54442
2019-10-18,1579.95458984375,1595.4227358561386,1532.2245384033881,1537.0859293234712,40237
2019-10-21,1635.1978759765625,1674.972977550363,1568.9060015230039,1584.3741479091148,36842
2019-10-22,1580.3966064453125,1655.9692759446978,1571.5576821979664,1644.0367917312008,23298
2019-10-23,1591.0032958984375,1595.4228159058698,1564.928624468799,1580.396655765619,16607
2019-10-24,1993.615478515625,1999.8028296130421,1778.830178904468,1871.1967263431334,248451
2019-10-25,2063.0009765625,2128.8508642622473,2024.1098483313344,2028.5292527242673,220429
2019-10-28,1907.878173828125,2076.259496934489,1907.878173828125,2076.259496934489,91117
2019-10-29,2016.15478515625,2029.4129983568953,1878.2677740844358,1895.9456226686445,61696
2019-10-30,1983.8927001953125,2080.67888331965,1983.8927001953125,2032.506842827483,63697
2019-10-31,1974.169921875,2013.061282256394,1955.6083304744284,1974.6120240159014,33677
2019-11-01,1988.754150390625,2008.6415856421913,1959.1437021019801,1993.1735547817123,20032
2019-11-04,1976.3797607421875,2009.9675126750499,1961.7954715704482,1988.7542321358774,20772
2019-11-05,2035.600341796875,2069.6301944213956,1988.7541471639906,2002.4544624424766,59869
2019-11-06,1798.7176513671875,1895.9457074356922,1798.7176513671875,1870.3129066867282,176341
2019-11-07,1818.6051025390625,1834.0732487599225,1806.2306317590437,1807.114605023097,36165
2019-11-08,1806.230712890625,1843.7961135500564,1805.7888417304234,1819.9310286904365,29168
2019-11-11,1750.1036376953125,1812.8598492095327,1736.8453091763472,1806.2306272042138,33686
2019-11-12,1789.8787841796875,1811.9760374361229,1768.2234020737087,1768.2234020737087,34379
2019-11-13,1772.200927734375,1789.878776459949,1763.3620033715881,1789.878776459949,16969
2019-11-14,1767.339599609375,1794.2982448065252,1756.732843799559,1780.155942223997,16451
2019-11-15,1787.22705078125,1787.22705078125,1756.7327450341315,1767.7813713870712,19130
2019-11-18,1794.2982177734375,1810.2082357567801,1764.245897420636,1796.0660488789988,20687
2019-11-19,1792.9722900390625,1830.5376887352654,1777.9461305605814,1795.1819921996223,29439
2019-11-20,1762.0361328125,1811.9760027504103,1760.71028840316,1781.9236834609299,31829
2019-11-21,1762.4781494140625,1784.575402623227,1762.4781494140625,1763.36200720476,17617
2019-11-22,1761.15234375,1771.7589839468774,1750.9875747123606,1766.8975927535155,13269
2019-11-25,1750.1036376953125,1772.2008903908122,1748.3358066633366,1767.781370556709,20580
2019-11-26,1753.6392822265625,1784.5754608267036,1753.6392822265625,1767.339598141745,33776
2019-11-27,1712.538330078125,1767.7814647607488,1693.09276514851,1759.3845267676586,30844
2019-11-28,1709.4447021484375,1728.4482796696063,1689.5571513534103,1712.5382621319195,17004
2019-11-29,1737.729248046875,1743.916483710042,1709.4447586569222,1715.1900076685497,21956
2019-12-02,1705.9091796875,1780.1558907509798,1705.9091796875,1767.7814196584538,23999
2019-12-03,1642.26904296875,1723.5869653319824,1632.9881316219432,1702.3735691738177,31823
2019-12-04,1653.317626953125,1661.7145647683176,1591.8872578678454,1652.8756403080235,34475
2019-12-05,1640.943115234375,1758.058601581292,1640.943115234375,1733.7516465352355,50116
2019-12-06,1639.6173095703125,1660.8307051534834,1625.0331361980313,1648.4562340209402,25956
2019-12-09,1588.7935791015625,1645.8045435864897,1588.7935791015625,1640.0592946702473,34726
2019-12-10,1608.68115234375,1701.0477003762837,1602.493916698229,1661.7145842351179,43981
2019-12-11,1635.1978759765625,1656.4112711820344,1610.006947515376,1625.4750939014868,34301
2019-12-12,1668.7857666015625,1708.1188821162493,1629.4525355952,1645.8045400032747,50273
2019-12-13,1659.94677734375,1691.7668116305833,1645.3624890949195,1683.8117453130394,23986
2019-12-16,1710.32861328125,1717.3997067426421,1653.7596346067567,1670.995497101199,42337
2019-12-17,1669.669677734375,1707.6769500251708,1663.4824419897486,1707.6769500251708,30780
2019-12-18,1659.5048828125,1675.8568874893524,1613.100673193292,1674.9730296800212,33682
2019-12-19,1660.388671875,1670.1114538501124,1647.1303433172718,1663.924218457616,22926
2019-12-20,1653.317626953125,1671.437347027138,1646.6884047349854,1660.830706969791,27866
2019-12-23,1644.036865234375,1653.3176610394355,1632.1042649957105,1650.2241009349748,25579
2019-12-27,1671.4373779296875,1687.7893827089733,1641.3851727990764,1644.0368617353583,29064
2019-12-30,1668.34375,1678.5085186785732,1651.9917458855568,1670.553452193166,21941
2020-01-02,1809.3243408203125,1817.2792919029,1717.39966603443,1723.5869015394092,104497
2020-01-03,1761.59423828125,1807.9984455170138,1751.4294697751604,1807.9984455170138,46359
2020-01-06,1704.5833740234375,1761.594339674512,1668.3438177162272,1761.594339674512,44757
2020-01-07,1751.871337890625,1814.6276643468225,1746.5680758244946,1785.4592032705839,125114
2020-01-08,1751.871337890625,1775.7364214090617,1694.4185044839007,1731.5419164051705,71633
2020-01-09,1901.2490234375,1906.9942723259044,1766.0136995597252,1775.7364817516443,115927
2020-01-10,1865.893310546875,1922.4622876498652,1838.4926797805806,1904.7845544874774,70965
2020-01-13,1873.848388671875,1923.3462728158806,1853.9608376860388,1865.8933220808703,58620
2020-01-14,1885.3388671875,1906.9942490253682,1863.6836008413059,1873.8483695510874,28725
2020-01-15,1852.635009765625,1899.0392188183655,1841.1443964178789,1891.96812544668,27815
2020-01-16,1827.002197265625,1860.589948298843,1816.3954417884609,1853.960841617291,27186
2020-01-17,1866.7772216796875,1877.383977371908,1828.3280787704214,1828.3280787704214,26703
2020-01-20,1830.9796142578125,1858.8222318812223,1804.020969918221,1850.4252941266786,31978
2020-01-21,1834.0732421875,1850.8671172609131,1799.159532149345,1811.9759895154625,25300
2020-01-22,1774.41064453125,1830.9796223278647,1768.2234089756305,1811.9760445088248,45517
2020-01-23,1700.6058349609375,1779.27206750894,1668.7857988169903,1776.6203785816645,56353
2020-01-24,1688.2313232421875,1736.845349598706,1679.8343855011396,1728.0064252164593,38557
2020-01-27,1595.86474609375,1651.5497491855547,1579.0707554463484,1651.5497491855547,74140
2020-01-28,1621.0555419921875,1628.1266350904616,1546.8087179852932,1585.2579743811257,57862
2020-01-29,1604.70361328125,1634.7559335935066,1586.1419064104464,1634.7559335935066,39045
2020-01-30,1547.250732421875,1588.7935494854698,1546.8087457859122,1586.5838472890034,35559
2020-01-31,1581.280517578125,1620.171762480382,1556.089703889457,1561.3929662234686,34613
2020-02-03,1548.1346435546875,1573.3255728392337,1520.2921408380062,1568.9060528023194,41429
2020-02-04,1627.2427978515625,1647.57233513012,1558.7413371781754,1560.0670660956114,43117
2020-02-05,1681.1602783203125,1703.699403328337,1630.778419440581,1636.523783974826,45763
2020-02-06,1682.4859619140625,1776.6203392921884,1681.160232971421,1736.8453527377064,63867
2020-02-07,1643.15283203125,1714.7479688868023,1640.5011431859816,1712.5382666796365,47518
2020-02-10,1643.15283203125,1683.3699203650317,1613.1006279321139,1657.295134042124,31823
2020-02-11,1732.42578125,1732.42578125,1660.388659264822,1663.0403480545635,33601
2020-02-12,1860.1480712890625,1877.3839333934866,1732.4258277650329,1732.4258277650329,100299
2020-02-13,1774.41064453125,1799.6015733975855,1701.4896623037105,1745.6841689890857,102813
2020-02-14,1739.4969482421875,1820.3729977976147,1723.586930319674,1781.0398818931121,50604
2020-02-17,1697.9541015625,1765.129834321812,1689.115177200309,1714.30610585797,42216
2020-02-18,1664.3662109375,1688.2312948185981,1632.1041894567275,1688.2312948185981,41871
2020-02-19,1636.965576171875,1683.8117705438015,1629.0106252268029,1670.5534419742326,37820
