Price,Close,High,Low,Open,Volume
Ticker,NAS.OL,NAS.OL,NAS.OL,NAS.OL,NAS.OL
Date,,,,,
2020-01-02,1809.3243408203125,1817.2792919029,1717.39966603443,1723.5869015394092,104497
2020-01-03,1761.59423828125,1807.9984455170138,1751.4294697751604,1807.9984455170138,46359
2020-01-06,1704.5833740234375,1761.594339674512,1668.3438177162272,1761.594339674512,44757
2020-01-07,1751.871337890625,1814.6276643468225,1746.5680758244946,1785.4592032705839,125114
2020-01-08,1751.871337890625,1775.7364214090617,1694.4185044839007,1731.5419164051705,71633
2020-01-09,1901.2490234375,1906.9942723259044,1766.0136995597252,1775.7364817516443,115927
2020-01-10,1865.893310546875,1922.4622876498652,1838.4926797805806,1904.7845544874774,70965
2020-01-13,1873.848388671875,1923.3462728158806,1853.9608376860388,1865.8933220808703,58620
2020-01-14,1885.3388671875,1906.9942490253682,1863.6836008413059,1873.8483695510874,28725
2020-01-15,1852.635009765625,1899.0392188183655,1841.1443964178789,1891.96812544668,27815
2020-01-16,1827.002197265625,1860.589948298843,1816.3954417884609,1853.960841617291,27186
2020-01-17,1866.7772216796875,1877.383977371908,1828.3280787704214,1828.3280787704214,26703
2020-01-20,1830.9796142578125,1858.8222318812223,1804.020969918221,1850.4252941266786,31978
2020-01-21,1834.0732421875,1850.8671172609131,1799.159532149345,1811.9759895154625,25300
2020-01-22,1774.41064453125,1830.9796223278647,1768.2234089756305,1811.9760445088248,45517
2020-01-23,1700.6058349609375,1779.27206750894,1668.7857988169903,1776.6203785816645,56353
2020-01-24,1688.2313232421875,1736.845349598706,1679.8343855011396,1728.0064252164593,38557
2020-01-27,1595.86474609375,1651.5497491855547,1579.0707554463484,1651.5497491855547,74140
2020-01-28,1621.0555419921875,1628.1266350904616,1546.8087179852932,1585.2579743811257,57862
2020-01-29,1604.70361328125,1634.7559335935066,1586.1419064104464,1634.7559335935066,39045
2020-01-30,1547.250732421875,1588.7935494854698,1546.8087457859122,1586.5838472890034,35559
2020-01-31,1581.280517578125,1620.171762480382,1556.089703889457,1561.3929662234686,34613
2020-02-03,1548.1346435546875,1573.3255728392337,1520.2921408380062,1568.9060528023194,41429
2020-02-04,1627.2427978515625,1647.57233513012,1558.7413371781754,1560.0670660956114,43117
2020-02-05,1681.1602783203125,1703.699403328337,1630.778419440581,1636.523783974826,45763
2020-02-06,1682.4859619140625,1776.6203392921884,1681.160232971421,1736.8453527377064,63867
2020-02-07,1643.15283203125,1714.7479688868023,1640.5011431859816,1712.5382666796365,47518
2020-02-10,1643.15283203125,1683.3699203650317,1613.1006279321139,1657.295134042124,31823
2020-02-11,1732.42578125,1732.42578125,1660.388659264822,1663.0403480545635,33601
2020-02-12,1860.1480712890625,1877.3839333934866,1732.4258277650329,1732.4258277650329,100299
2020-02-13,1774.41064453125,1799.6015733975855,1701.4896623037105,1745.6841689890857,102813
2020-02-14,1739.4969482421875,1820.3729977976147,1723.586930319674,1781.0398818931121,50604
2020-02-17,1697.9541015625,1765.129834321812,1689.115177200309,1714.30610585797,42216
2020-02-18,1664.3662109375,1688.2312948185981,1632.1041894567275,1688.2312948185981,41871
2020-02-19,1636.965576171875,1683.8117705438015,1629.0106252268029,1670.5534419742326,37820
2020-02-20,1631.662353515625,1638.291460214958,1612.216673585891,1635.6397713385545,35310
2020-02-21,1593.213134765625,1626.35901554816,1591.0033169867797,1626.35901554816,41481
2020-02-24,1360.307861328125,1568.9060410337936,1347.9333901042714,1546.808787490009,150836
2020-02-25,1171.1552734375,1402.2926986980851,1171.1552734375,1370.0306754378907,190783
2020-02-26,1005.86767578125,1149.057946957065,1005.86767578125,1149.057946957065,226826
2020-02-27,788.2095336914062,950.1825052104596,742.4681903865257,950.1825052104596,554023
2020-02-28,836.8235473632812,906.8718446551062,708.2174501546806,787.9885870443081,362044
2020-03-02,847.6511840820312,954.6019581696145,840.1381043461435,928.0852435255515,197467
2020-03-03,879.2503051757812,914.8268804160325,867.538756393664,914.3849515221331,155945
2020-03-04,804.782470703125,890.5199082695913,789.3143822499827,879.4712819096092,147291
2020-03-05,700.4833984375,803.2357064389466,700.4833984375,795.5016331882085,233434
2020-03-06,540.9411010742188,658.4985715459924,495.86268079685345,658.4985715459924,432518
2020-03-09,487.9076843261719,525.2520902909765,383.166639589202,441.94534740731035,305984
2020-03-10,497.18853759765625,543.150874526663,446.5857740867547,523.484259355475,330331
2020-03-11,421.1739501953125,502.2709353151587,403.6728900613854,498.51439528604874,257502
2020-03-12,328.27703857421875,362.3952146790573,307.15202269581505,352.6724034196891,367333
2020-03-13,355.1473083496094,437.08397745785,327.83508531352913,340.29793680019844,537543
2020-03-16,313.42767333984375,354.882141482368,296.01502161286135,354.882141482368,253753
2020-03-17,382.28271484375,397.30887419440575,346.0432185963375,346.0432185963375,336024
2020-03-18,494.536865234375,542.4879703836414,397.7508259994467,419.8481085469868,786296
2020-03-19,506.0274658203125,525.9149589729087,441.9453509536002,513.5404879912911,374167
2020-03-20,470.67181396484375,649.8806452220931,440.7962839549776,631.9818614277553,546963
2020-03-23,395.0991516113281,464.04262792520365,375.6535586892523,464.04262792520365,222611
2020-03-24,401.8167419433594,493.65301056785813,395.09916846810705,464.04264772343396,270148
2020-03-25,444.15509033203125,543.8137533857623,376.9794142115292,419.4061479067139,412605
2020-03-26,422.0578308105469,441.945352924764,397.75081763228764,441.945352924764,212130
2020-03-27,420.9087829589844,452.9940166878768,415.42864512209223,424.2675696660036,139236
2020-03-30,410.1252746582031,415.42862333179175,393.33137087690983,415.42862333179175,131000
2020-03-31,399.51861572265625,434.43229737836936,388.91191812223855,428.6869908144271,206761
2020-04-01,397.7508239746094,398.6347395252635,384.75763495336,398.6347395252635,105152
2020-04-02,387.76287841796875,405.17552995506503,380.07303822376366,397.75082978242455,117676
2020-04-03,366.81463623046875,390.2377625018109,366.81463623046875,390.2377625018109,118965
2020-04-06,350.4626770019531,365.48883743517246,344.8941879363613,365.48883743517246,135744
2020-04-07,390.2377624511719,402.9657822450078,346.9271142777876,350.5510697716492,238472
2020-04-08,365.48883056640625,392.624264196352,359.0364260541888,391.121659730437,86818
2020-04-14,203.2948760986328,285.0547698809745,137.00307149969032,283.37537651612206,1200221
2020-04-15,212.13377380371094,242.62799259973872,176.77813521211985,203.29486415581317,617575
2020-04-16,220.97267150878906,233.34714226819798,212.57571951951806,214.3434928071713,247906
2020-04-17,239.97633361816406,243.06995128496516,226.2760185586399,233.34714052948266,223988
2020-04-20,239.4459991455078,282.84502707783815,194.89790124525317,244.30739015346956,549356
2020-04-21,253.0579071044922,258.27287590324966,232.640032982754,239.0924373238004,188637
2020-04-22,260.7477722167969,268.6144008703453,244.04221939184484,255.00246573080094,168190
2020-04-23,252.2624053955078,268.43762100329457,249.34557648986979,262.957483213406,113628
2020-04-24,256.32830810546875,264.2833166985332,244.66093522091742,260.74777015624585,125545
2020-04-27,243.06996154785156,254.1185882892305,220.97267919217452,254.1185882892305,284969
2020-04-28,222.29852294921875,239.44600522653522,219.42586961114208,239.44600522653522,251996
2020-04-29,223.71273803710938,240.41827627945204,202.27839330564555,221.8565703293955,255797
2020-04-30,226.18765258789062,240.41829185065305,216.55323567306394,233.34715500470747,181890
2020-05-04,235.11492919921875,337.9998048221505,229.8999749198983,254.11857859614216,1157417
2020-05-05,212.13377380371094,253.14630995028978,212.13377380371094,239.53437494479746,340332
2020-05-06,183.84927368164062,207.71431412207045,176.77813722108817,203.6926197868182,296308
2020-05-07,185.61705017089844,191.80428565781037,172.84482586952294,183.84927685261465,226970
2020-05-08,197.94732666015625,205.06263864710206,189.19681139801395,190.0365080361215,132390
2020-05-11,207.5817413330078,210.8963380883518,198.87541553622253,198.87541553622253,164241
2020-05-12,232.99359130859375,253.6766194339608,214.34349089674126,220.97266953927357,397774
2020-05-13,240.9486083984375,249.16878616272862,233.34714841382828,238.5621172845448,237251
2020-05-14,217.87905883789062,244.30739425064448,214.43189218568418,240.94860760298113,176572
2020-05-15,225.3921356201172,232.46325770699806,213.45960807571865,226.54119115467793,128834
2020-05-18,175.14295959472656,232.02132718623906,110.83989896576567,225.39214805937053,1237544
2020-05-19,167.0553436279297,187.47321783739648,132.58360513731188,150.26142493020384,867708
2020-05-20,114.90579223632812,140.09668464783653,66.29180238039358,66.29180238039358,8723921
2020-05-22,130.46226501464844,139.21278023723272,121.53497535232985,125.95442296444084,2595713
2020-05-25,159.100341796875,159.100341796875,130.81583755097233,134.79334212586772,2355453
2020-05-26,197.7705535888672,214.3434931512891,172.84482315209976,173.24257647339803,3575059
2020-05-27,179.3414306640625,215.6693361169617,172.35868867840765,203.29486542023196,2841339
2020-05-28,170.14895629882812,179.2530348088446,157.33254238371623,170.1047662981476,1555917
2020-05-29,166.1714630126953,175.36392213235987,161.3100573400853,170.1489675579927,883284
2020-06-02,150.2614288330078,168.3811924258855,133.90945303991853,166.17146128526488,1746571
2020-06-03,154.76927185058594,157.77449524429625,146.94683281522475,152.64793514270931,612788
2020-06-04,169.66282653808594,173.24257757971222,150.43819804424186,154.76926573193796,900939
2020-06-05,188.09194946289062,195.33984602737985,176.77813963348845,176.77813963348845,1360041
2020-06-08,192.68817138671875,210.67534998853034,188.71066700332295,196.66569020657383,1905153
2020-06-09,190.83200073242188,204.17875253831343,176.7781367261009,204.04616809845425,1121926
2020-06-10,172.3586883544922,190.0365077270151,154.68086898196924,190.0365077270151,1413555
2020-06-11,132.0090789794922,159.10033677186198,131.5229456421976,159.10033677186198,2010118
